순위,광역시/도,시/군/구,관광지명,도로명주소,중분류 카테고리,소분류 카테고리,검색건수
1,서울특별시,강서구,김포국제공항국내선,서울 강서구 하늘길 111-0,기타관광,교통시설,125055
2,서울특별시,강남구,SRT수서역,서울 강남구 밤고개로 99-0,기타관광,교통시설,58795
3,서울특별시,영등포구,더현대서울,서울 영등포구 여의대로 108-0,쇼핑,백화점,55263
4,서울특별시,서초구,신세계백화점강남점,서울 서초구 신반포로 176-0,쇼핑,백화점,52086
5,서울특별시,영등포구,타임스퀘어,서울 영등포구 영중로 15-0,쇼핑,쇼핑몰,48028
6,서울특별시,용산구,서울역,서울 용산구 한강대로 405-0,기타관광,교통시설,47957
7,서울특별시,송파구,가락동농수산물도매시장,서울 송파구 양재대로 932-0,쇼핑,시장,45597
8,서울특별시,동작구,노량진수산시장,서울 동작구 노들로 674-0,쇼핑,시장,41867
9,서울특별시,강서구,김포국제공항,서울 강서구 하늘길 112-0,기타관광,교통시설,41151
10,서울특별시,강서구,롯데몰김포공항점,서울 강서구 하늘길 38-0,쇼핑,쇼핑몰,31772
11,서울특별시,강남구,코엑스,서울 강남구 영동대로 513-0,문화관광,전시시설,30487
12,서울특별시,영등포구,IFC몰,서울 영등포구 국제금융로 10-0,쇼핑,쇼핑몰,29474
13,서울특별시,서초구,서울고속버스터미널경부영동선,서울 서초구 신반포로 194-0,기타관광,교통시설,28564
14,서울특별시,중구,롯데백화점본점,서울 중구 남대문로 81-0,쇼핑,백화점,28356
15,서울특별시,양천구,현대백화점목동점,서울 양천구 목동동로 257-0,쇼핑,백화점,27455
16,서울특별시,강남구,현대백화점압구정본점,서울 강남구 압구정로 165-0,쇼핑,백화점,25737
17,서울특별시,광진구,동서울종합터미널,서울 광진구 강변역로 50-0,기타관광,교통시설,25492
18,서울특별시,용산구,용산역,서울 용산구 한강대로23길 55-0,기타관광,교통시설,25378
19,서울특별시,강남구,현대백화점무역센터점,서울 강남구 테헤란로 517-0,쇼핑,백화점,25214
20,서울특별시,중구,신세계백화점본점신관,서울 중구 퇴계로 77-0,쇼핑,백화점,24290
21,서울특별시,송파구,롯데월드몰,서울 송파구 올림픽로 300-0,쇼핑,쇼핑몰,24203
22,서울특별시,송파구,롯데월드잠실점,서울 송파구 올림픽로 240-0,문화관광,테마공원,23582
23,서울특별시,중구,신세계백화점본점,서울 중구 소공로 63-0,쇼핑,백화점,23581
24,서울특별시,송파구,롯데백화점잠실점,서울 송파구 올림픽로 240-0,쇼핑,백화점,23358
25,서울특별시,용산구,HDC아이파크몰,서울 용산구 한강대로23길 55-0,쇼핑,백화점,19928
26,서울특별시,송파구,가든파이브라이프,서울 송파구 충민로 66-0,쇼핑,쇼핑몰,18937
27,서울특별시,서초구,예술의전당,서울 서초구 남부순환로 2406-0,문화관광,공연시설,18528
28,서울특별시,강서구,강서농산물도매시장,서울 강서구 발산로 40-0,쇼핑,시장,18280
29,서울특별시,영등포구,여의도한강공원,서울 영등포구 여의동로 330-0,문화관광,도시공원,16927
30,서울특별시,노원구,롯데백화점노원점,서울 노원구 동일로 1414-0,쇼핑,백화점,16390
31,서울특별시,강동구,현대백화점천호점,서울 강동구 천호대로 1005-0,쇼핑,백화점,15064
32,서울특별시,동대문구,롯데백화점청량리점,서울 동대문구 왕산로 214-0,쇼핑,백화점,14657
33,서울특별시,서대문구,현대백화점신촌점,서울 서대문구 신촌로 83-0,쇼핑,백화점,14203
34,서울특별시,용산구,국립중앙박물관,서울 용산구 서빙고로 137-0,문화관광,전시시설,14177
35,서울특별시,중구,현대시티아울렛동대문점,서울 중구 장충단로13길 20-0,쇼핑,쇼핑몰,13586
36,서울특별시,서초구,신세계센트럴시티터미널호남선,서울 서초구 신반포로 176-0,기타관광,교통시설,13390
37,서울특별시,은평구,롯데몰은평점,서울 은평구 통일로 1050-0,쇼핑,쇼핑몰,13334
38,서울특별시,강서구,NC백화점강서점,서울 강서구 강서로56길 17-0,쇼핑,백화점,12798
39,서울특별시,영등포구,롯데백화점영등포점,서울 영등포구 경인로 846-0,쇼핑,백화점,12463
40,서울특별시,영등포구,신세계백화점타임스퀘어점,서울 영등포구 영중로 9-0,쇼핑,백화점,12231
41,서울특별시,강남구,갤러리아백화점명품관EAST,서울 강남구 압구정로 407-0,쇼핑,백화점,12216
42,서울특별시,성북구,현대백화점미아점,서울 성북구 동소문로 315-0,쇼핑,백화점,11999
43,서울특별시,강남구,롯데백화점강남점,서울 강남구 도곡로 401-0,쇼핑,백화점,11775
44,서울특별시,용산구,남산서울타워,서울 용산구 남산공원길 105-0,문화관광,랜드마크관광,11693
45,서울특별시,송파구,올림픽공원,서울 송파구 올림픽로 424-0,문화관광,도시공원,10694
46,서울특별시,성동구,마장축산물시장,서울 성동구 마장로31길 40-0,쇼핑,시장,10475
47,서울특별시,용산구,CGV용산아이파크몰,서울 용산구 한강대로23길 55-0,문화관광,공연시설,10338
48,서울특별시,광진구,어린이대공원,서울 광진구 능동로 216-0,문화관광,테마공원,10060
49,서울특별시,마포구,서울월드컵경기장,서울 마포구 월드컵로 240-0,문화관광,레저스포츠시설,9764
50,서울특별시,서초구,서울남부터미널,서울 서초구 효령로 292-0,기타관광,교통시설,9673
51,서울특별시,종로구,동대문종합시장,서울 종로구 종로 266-0,쇼핑,시장,9216
52,서울특별시,종로구,북악스카이웨이,서울 종로구,기타관광,데이트코스,9136
53,서울특별시,성동구,서울숲,서울 성동구 뚝섬로 273-0,문화관광,도시공원,8970
54,서울특별시,동대문구,경동시장,서울 동대문구 고산자로36길 3-0,쇼핑,시장,8956
55,서울특별시,강서구,서울식물원,서울 강서구 마곡동로 161-0,문화관광,테마공원,8940
56,서울특별시,마포구,망원시장,서울 마포구 포은로8길 14-0,쇼핑,시장,8458
57,서울특별시,종로구,광장시장,서울 종로구 창경궁로 88-0,쇼핑,시장,8437
58,서울특별시,강남구,갤러리아백화점명품관WEST,서울 강남구 압구정로 343-0,쇼핑,백화점,8201
59,서울특별시,서초구,헌릉과인릉,서울 서초구 헌인릉길 34-0,역사관광,역사유적지,8123
60,서울특별시,구로구,NC백화점신구로점,서울 구로구 구로중앙로 152-0,쇼핑,백화점,7882
61,서울특별시,금천구,마리오아울렛1관,서울 금천구 디지털로 185-0,쇼핑,쇼핑몰,7779
62,서울특별시,송파구,현대시티몰가든파이브점,서울 송파구 충민로 66-0,쇼핑,쇼핑몰,7742
63,서울특별시,서초구,뉴코아아울렛강남점,서울 서초구 잠원로 69-0,쇼핑,대형마트,7723
64,서울특별시,금천구,현대시티아울렛가산점,서울 금천구 디지털로10길 9-0,쇼핑,쇼핑몰,7670
65,서울특별시,관악구,롯데백화점관악점,서울 관악구 봉천로 209-0,쇼핑,백화점,7375
66,서울특별시,광진구,롯데백화점건대스타시티점,서울 광진구 능동로 92-0,쇼핑,백화점,7319
67,서울특별시,송파구,가락몰,서울 송파구 양재대로 932-0,쇼핑,시장,7295
68,서울특별시,강북구,롯데백화점미아점,서울 강북구 도봉로 62-0,쇼핑,백화점,7238
69,서울특별시,용산구,전쟁기념관,서울 용산구 이태원로 29-0,문화관광,전시시설,7119
70,서울특별시,종로구,경복궁,서울 종로구 사직로 161-0,역사관광,역사유적지,7048
71,서울특별시,서초구,반포한강공원,서울 서초구 신반포로11길 40-0,문화관광,도시공원,7047
72,서울특별시,구로구,현대백화점디큐브시티점,서울 구로구 경인로 662-0,쇼핑,백화점,6956
73,서울특별시,송파구,가든파이브툴,서울 송파구 충민로 10-0,쇼핑,쇼핑몰,6805
74,서울특별시,종로구,국립현대미술관서울관,서울 종로구 삼청로 30-0,문화관광,전시시설,6635
75,서울특별시,송파구,가든파이브웍스,서울 송파구 충민로 52-0,쇼핑,쇼핑몰,6507
76,서울특별시,은평구,NC백화점불광점,서울 은평구 불광로 20-0,쇼핑,백화점,6413
77,서울특별시,종로구,팔각정북악스카이,서울 종로구 북악산로 267-0,문화관광,랜드마크관광,6382
78,서울특별시,송파구,롯데백화점에비뉴엘월드타워점,서울 송파구 올림픽로 300-0,쇼핑,백화점,6132
79,서울특별시,강남구,SETEC,서울 강남구 남부순환로 3104-0,문화관광,전시시설,6112
80,서울특별시,송파구,롯데월드아쿠아리움,서울 송파구 올림픽로 300-0,문화관광,테마공원,6005
81,서울특별시,용산구,블루스퀘어,서울 용산구 이태원로 294-0,문화관광,공연시설,5986
82,서울특별시,양천구,목동실내아이스링크,서울 양천구 안양천로 939-0,레저스포츠,육상레저스포츠,5964
83,서울특별시,마포구,마포농수산물시장,서울 마포구 월드컵로 235-0,쇼핑,시장,5829
84,서울특별시,중구,충무아트센터,서울 중구 퇴계로 387-0,문화관광,공연시설,5736
85,서울특별시,중구,두산타워,서울 중구 장충단로 275-0,쇼핑,쇼핑몰,5697
86,서울특별시,중구,방산종합시장,서울 중구 동호로37길 20-0,쇼핑,시장,5686
87,서울특별시,강남구,봉은사,서울 강남구 봉은사로 531-0,역사관광,종교성지,5636
88,서울특별시,금천구,마리오아울렛3관,서울 금천구 벚꽃로 266-0,쇼핑,쇼핑몰,5393
89,서울특별시,노원구,2001아울렛중계점,서울 노원구 동일로204가길 46-0,쇼핑,대형마트,5354
90,서울특별시,강북구,북서울꿈의숲,서울 강북구 월계로 173-0,문화관광,도시공원,5195
91,서울특별시,마포구,망원한강공원,서울 마포구 마포나루길 467-0,문화관광,도시공원,5171
92,서울특별시,광진구,뚝섬한강공원,서울 광진구 강변북로 2273-0,문화관광,도시공원,5158
93,서울특별시,은평구,수색역,서울 은평구 수색로 261-1,기타관광,교통시설,5032
94,서울특별시,송파구,NC백화점송파점,서울 송파구 충민로 66-0,쇼핑,백화점,5009
95,서울특별시,송파구,가락수산시장,서울 송파구 양재대로 932-0,쇼핑,시장,4972
96,서울특별시,서초구,잠원한강공원,서울 서초구 잠원로 221-124,문화관광,도시공원,4762
97,서울특별시,서초구,한가람미술관,서울 서초구 남부순환로 2406-0,문화관광,전시시설,4760
98,서울특별시,중구,밀리오레동대문점,서울 중구 장충단로 263-0,쇼핑,쇼핑몰,4727
99,서울특별시,서대문구,서대문자연사박물관,서울 서대문구 연희로32길 51-0,문화관광,전시시설,4615
100,서울특별시,노원구,건영백화점,서울 노원구 섬밭로 258-0,쇼핑,백화점,4532
101,서울특별시,강서구,롯데백화점김포공항점,서울 강서구 하늘길 38-0,쇼핑,백화점,4529
102,서울특별시,중구,국립극장,서울 중구 장충단로 59-0,문화관광,공연시설,4449
103,서울특별시,금천구,독산동우시장,서울 금천구 범안로 1209-0,쇼핑,시장,4393
104,서울특별시,송파구,샤롯데씨어터,서울 송파구 올림픽로 240-0,문화관광,공연시설,4327
105,서울특별시,강남구,아쿠아리움코엑스몰점,서울 강남구 영동대로 513-0,문화관광,테마공원,4311
106,서울특별시,용산구,용산전자상가,서울 용산구,쇼핑,기타쇼핑시설,4208
107,서울특별시,양천구,행복한백화점,서울 양천구 목동동로 309-0,쇼핑,백화점,4200
108,서울특별시,송파구,잠실한강공원,서울 송파구 한가람로 65-0,문화관광,도시공원,4170
109,서울특별시,영등포구,여의도백화점,서울 영등포구 국제금융로6길 33-0,쇼핑,쇼핑몰,3955
110,서울특별시,송파구,키자니아서울점,서울 송파구 올림픽로 240-0,문화관광,테마공원,3903
111,서울특별시,광진구,어린이회관눈썰매장,서울 광진구 광나루로 441-0,레저스포츠,육상레저스포츠,3738
112,서울특별시,구로구,고척스카이돔,서울 구로구 경인로 430-0,문화관광,레저스포츠시설,3691
113,서울특별시,동작구,성대전통시장,서울 동작구 상도로 102-0,쇼핑,시장,3662
114,서울특별시,강남구,신사동가로수길,서울 강남구,문화관광,테마공원,3654
115,서울특별시,강북구,수유시장,서울 강북구 도봉로67길 18-0,쇼핑,시장,3617
116,서울특별시,강서구,국립항공박물관,서울 강서구 하늘길 177-0,문화관광,전시시설,3584
117,서울특별시,종로구,조계사,서울 종로구 우정국로 55-0,역사관광,종교성지,3559
118,서울특별시,중구,디오트쇼핑몰,서울 중구 다산로 293-0,쇼핑,쇼핑몰,3513
119,서울특별시,강북구,4.19기념탑,서울 강북구 4.19로8길 17-0,역사관광,역사유물,3511
120,서울특별시,종로구,낙산공원,서울 종로구 낙산길 41-0,문화관광,도시공원,3454
121,서울특별시,중구,남대문시장,서울 중구,쇼핑,시장,3447
122,서울특별시,구로구,고척근린공원,서울 구로구,문화관광,도시공원,3425
123,서울특별시,강남구,광림아트센터BBCH홀,서울 강남구 논현로163길 33-0,문화관광,공연시설,3261
124,서울특별시,관악구,타임스트림,서울 관악구 신림로 330-0,쇼핑,쇼핑몰,3209
125,서울특별시,동작구,보라매공원,서울 동작구 여의대방로20길 33-0,문화관광,도시공원,3141
126,서울특별시,영등포구,영등포역,서울 영등포구,기타관광,교통시설,3063
127,서울특별시,송파구,우리금융아트홀,서울 송파구 올림픽로 424-0,문화관광,공연시설,3042
128,서울특별시,강남구,한국도심공항,서울 강남구 테헤란로87길 22-0,기타관광,교통시설,3017
129,서울특별시,동대문구,청량리청과물시장,서울 동대문구 왕산로 167-0,쇼핑,시장,2982
130,서울특별시,종로구,광화문,서울 종로구 사직로 161-0,역사관광,역사유적지,2837
131,서울특별시,양천구,서서울호수공원,서울 양천구 남부순환로64길 20-0,문화관광,도시공원,2800
132,서울특별시,서초구,세빛섬,서울 서초구 올림픽대로 2085-14,자연관광,자연경관(하천/해양),2790
133,서울특별시,광진구,스타시티,서울 광진구 아차산로 272-0,쇼핑,쇼핑몰,2773
134,서울특별시,영등포구,대신시장,서울 영등포구 도신로60길 7-0,쇼핑,시장,2746
135,서울특별시,강북구,도선사,서울 강북구 도선사길 278-0,역사관광,종교성지,2739
136,서울특별시,노원구,세이브존노원점,서울 노원구 한글비석로 57-0,쇼핑,대형마트,2696
136,서울특별시,도봉구,신창시장,서울 도봉구 덕릉로57길 10-0,쇼핑,시장,2696
138,서울특별시,광진구,뚝섬유원지,서울 광진구,문화관광,복합관광시설,2663
139,서울특별시,강서구,김포국제공항국제선,서울 강서구 하늘길 38-0,기타관광,교통시설,2636
139,서울특별시,중구,제일평화시장,서울 중구 마장로 13-0,쇼핑,시장,2636
141,서울특별시,마포구,메가박스상암월드컵경기장,서울 마포구 월드컵로 240-0,문화관광,공연시설,2624
142,서울특별시,은평구,진관사,서울 은평구 진관길 73-0,역사관광,종교성지,2612
143,서울특별시,중구,롯데백화점에비뉴엘본점,서울 중구 남대문로 73-0,쇼핑,백화점,2557
144,서울특별시,성동구,금남시장,서울 성동구 독서당로 303-7,쇼핑,시장,2531
145,서울특별시,중구,누죤,서울 중구 을지로45길 62-0,쇼핑,쇼핑몰,2526
146,서울특별시,도봉구,방학동도깨비시장,서울 도봉구 도당로13다길 33-0,쇼핑,시장,2477
147,서울특별시,송파구,문정동로데오거리,서울 송파구 동남로4길 10-0,쇼핑,기타쇼핑시설,2463
148,서울특별시,양천구,대한민국예술인센터,서울 양천구 목동서로 225-0,문화관광,기타문화관광지,2435
149,서울특별시,성북구,고려대아이스링크,서울 성북구 안암로 145-0,레저스포츠,육상레저스포츠,2419
150,서울특별시,서초구,서래마을,서울 서초구,기타관광,기타관광,2415
151,서울특별시,마포구,하늘공원,서울 마포구 하늘공원로 95-0,문화관광,도시공원,2377
152,서울특별시,동대문구,청량리역,서울 동대문구 왕산로 214-0,기타관광,교통시설,2375
153,서울특별시,광진구,서울상상나라,서울 광진구 능동로 216-0,문화관광,전시시설,2353
154,서울특별시,중랑구,우림시장,서울 중랑구 망우로62길 52-4,쇼핑,시장,2347
155,서울특별시,용산구,리움미술관,서울 용산구 이태원로55길 60-16,문화관광,전시시설,2333
156,서울특별시,송파구,방이시장,서울 송파구 백제고분로48길 35-0,쇼핑,시장,2317
157,서울특별시,노원구,태릉CC,서울 노원구 화랑로 682-0,레저스포츠,육상레저스포츠,2312
158,서울특별시,용산구,후암시장,서울 용산구 후암로35길 24-0,쇼핑,시장,2299
159,서울특별시,강동구,2001아울렛천호점,서울 강동구 구천면로 189-0,쇼핑,대형마트,2264
160,서울특별시,성동구,그라운드시소성수,서울 성동구 아차산로17길 49-0,문화관광,기타문화관광지,2261
161,서울특별시,은평구,은평한옥마을,서울 은평구,역사관광,역사유적지,2256
162,서울특별시,중랑구,상봉종합버스터미널,서울 중랑구 상봉로 117-0,기타관광,교통시설,2226
163,서울특별시,성북구,길상사,서울 성북구 선잠로5길 68-0,역사관광,종교성지,2222
164,서울특별시,마포구,평화의공원,서울 마포구,문화관광,도시공원,2220
165,서울특별시,중구,DDP패션몰,서울 중구 마장로 22-0,쇼핑,쇼핑몰,2218
166,서울특별시,영등포구,영등포청과시장,서울 영등포구 영신로 161-0,쇼핑,시장,2213
167,서울특별시,중구,중부시장,서울 중구 을지로32길 34-0,쇼핑,시장,2204
168,서울특별시,광진구,커먼그라운드,서울 광진구 아차산로 200-0,쇼핑,쇼핑몰,2200
169,서울특별시,송파구,송파책박물관,서울 송파구 송파대로37길 77-0,문화관광,전시시설,2162
170,서울특별시,송파구,마천중앙시장,서울 송파구 마천로45길 23-0,쇼핑,시장,2155
