,광역시도,시군구명,지역총면적(㎡),1인당 상업지역 (㎡),관광/여가/오락,생활서비스,소매,숙박,스포츠,음식,학문/교육
0,서울특별시,종로구,23913166.0,20.78,1.0,0.8,2.0,1.6,0.7,1.4,0.7
1,서울특별시,중구,9960289.0,32.71,0.8,1.2,2.5,2.1,1.0,1.4,0.5
2,서울특별시,용산구,21867612.0,7.18,1.0,1.0,1.1,0.9,0.8,1.2,0.7
3,서울특별시,성동구,16820271.0,1.68,1.0,1.2,0.9,0.4,1.3,1.1,1.0
4,서울특별시,광진구,17062837.0,0.61,1.9,1.4,1.2,0.5,1.6,1.3,1.5
5,서울특별시,동대문구,14216012.0,2.46,1.2,1.2,1.4,0.8,1.1,1.1,1.1
6,서울특별시,중랑구,18497097.0,0.93,1.6,1.3,1.1,0.6,1.0,1.0,1.1
7,서울특별시,성북구,24577898.0,0.93,1.1,1.2,1.1,0.6,1.1,1.2,1.5
8,서울특별시,강북구,23600402.0,0.93,1.2,0.9,0.8,0.6,0.8,1.0,0.7
9,서울특별시,도봉구,20651010.0,0.86,0.9,0.9,0.8,0.1,1.0,0.7,1.0
10,서울특별시,노원구,35439055.0,1.19,1.4,1.2,1.1,0.2,1.6,1.1,2.0
11,서울특별시,은평구,29713452.0,1.09,1.3,1.3,1.0,0.4,1.2,1.2,1.6
12,서울특별시,서대문구,17626979.0,0.93,0.9,0.9,0.8,0.6,1.0,1.1,1.0
13,서울특별시,마포구,23853636.0,2.58,1.5,1.8,1.1,1.3,1.5,2.2,1.5
14,서울특별시,양천구,17405694.0,1.81,1.3,1.3,1.0,0.2,1.4,1.0,2.2
15,서울특별시,강서구,41453336.0,2.33,2.1,2.0,1.4,0.7,2.3,1.8,1.9
16,서울특별시,구로구,20121577.0,1.3,1.3,1.4,1.2,0.7,1.3,1.2,1.4
17,서울특별시,금천구,13020502.0,0.65,0.9,1.2,1.0,0.4,1.0,0.9,0.8
18,서울특별시,영등포구,24549901.0,6.95,1.6,1.7,1.4,1.1,1.7,1.6,1.1
19,서울특별시,동작구,16356864.0,0.93,1.1,1.0,0.8,0.3,1.0,0.9,1.4
20,서울특별시,관악구,29568309.0,0.81,1.8,1.4,1.0,0.6,1.6,1.3,1.4
21,서울특별시,서초구,46968018.0,3.29,2.2,2.3,1.9,0.5,3.1,1.7,2.4
22,서울특별시,강남구,39497893.0,3.17,3.2,4.1,2.7,1.1,5.3,3.4,3.6
23,서울특별시,송파구,33875858.0,3.59,2.7,2.2,1.9,0.5,3.0,2.1,2.5
24,서울특별시,강동구,24590497.0,1.51,1.6,1.6,1.1,0.5,1.8,1.3,1.9
25,부산광역시,중구,3012847.0,47.45,0.4,0.4,1.0,0.9,0.3,0.6,0.1
26,부산광역시,서구,13975503.0,10.58,0.3,0.4,0.4,0.5,0.4,0.4,0.3
27,부산광역시,동구,10121140.0,28.86,0.3,0.4,0.9,0.9,0.4,0.5,0.2
28,부산광역시,영도구,14199344.0,7.38,0.3,0.4,0.4,0.4,0.3,0.5,0.3
29,부산광역시,부산진구,29666486.0,13.6,1.5,1.7,2.2,1.4,1.6,1.8,1.5
30,부산광역시,동래구,16630552.0,4.24,1.1,1.1,1.0,0.8,1.1,1.0,1.3
31,부산광역시,남구,26824050.0,4.06,0.9,1.1,0.9,0.4,1.0,1.0,1.1
32,부산광역시,북구,39373771.0,2.18,0.9,0.9,0.8,0.6,0.9,0.9,1.0
33,부산광역시,해운대구,51541038.0,8.7,1.4,1.7,1.9,2.5,2.1,1.7,2.1
34,부산광역시,사하구,41783913.0,2.15,1.3,1.2,1.3,0.5,1.2,1.1,1.5
35,부산광역시,금정구,65278566.0,3.22,1.0,1.0,0.9,0.5,1.0,1.0,1.0
36,부산광역시,강서구,182156982.0,29.22,0.4,0.6,0.8,0.4,1.1,0.8,0.7
37,부산광역시,연제구,12105139.0,3.78,0.7,0.8,0.6,0.3,0.8,0.7,0.6
38,부산광역시,수영구,10218072.0,4.29,0.8,0.9,0.8,0.9,0.9,1.0,0.9
39,부산광역시,사상구,36105077.0,2.35,1.0,0.9,1.1,0.7,1.0,0.8,0.6
40,부산광역시,기장군,218333487.0,6.24,0.6,0.6,0.8,0.7,0.7,0.9,0.8
41,대구광역시,중구,7055955.0,38.92,0.6,0.9,1.8,0.7,0.4,1.0,0.6
42,대구광역시,동구,182148857.0,11.03,1.2,1.5,1.4,1.1,1.3,1.5,1.3
43,대구광역시,서구,17323439.0,8.1,0.7,0.8,0.9,0.6,0.4,0.8,0.4
44,대구광역시,남구,17430501.0,7.39,0.6,0.8,0.7,0.3,0.4,0.8,0.4
45,대구광역시,북구,93989988.0,8.15,1.5,1.5,1.8,0.5,1.8,1.6,1.6
46,대구광역시,수성구,76534325.0,4.84,1.4,1.5,1.1,0.3,2.0,1.4,2.3
47,대구광역시,달서구,62374781.0,4.55,2.6,2.2,2.0,0.7,2.5,2.1,2.7
48,대구광역시,달성군,428364379.0,5.14,0.7,0.8,0.8,0.4,0.9,1.0,1.0
49,인천광역시,중구,140373061.0,39.12,0.7,0.6,0.9,2.2,0.6,1.1,0.6
50,인천광역시,동구,7197504.0,7.73,0.2,0.3,0.5,0.2,0.1,0.2,0.2
51,인천광역시,미추홀구,24834633.0,7.92,1.9,1.9,1.6,1.0,1.2,1.3,1.4
52,인천광역시,연수구,56190677.0,12.67,1.6,1.3,1.2,0.6,1.7,1.3,1.8
53,인천광역시,남동구,57453776.0,3.97,2.6,2.2,2.1,0.5,2.0,1.8,2.1
54,인천광역시,부평구,32004150.0,4.09,2.2,2.2,1.8,0.9,1.5,1.6,1.9
55,인천광역시,계양구,45567674.0,2.9,1.4,1.2,1.0,0.4,1.0,0.9,1.2
56,인천광역시,서구,119055981.0,8.27,2.4,2.2,1.8,0.4,2.3,1.8,2.2
57,인천광역시,강화군,411418094.0,8.8,0.2,0.3,0.4,2.7,0.2,0.5,0.2
58,인천광역시,옹진군,172949344.0,0.0,0.1,0.1,0.1,2.9,0.1,0.2,0.0
59,광주광역시,동구,49319448.0,17.41,0.7,0.7,1.1,0.8,0.4,0.8,0.6
60,광주광역시,서구,47748555.0,6.87,1.4,1.4,1.6,0.6,1.4,1.3,1.4
61,광주광역시,남구,60975041.0,2.11,0.7,1.0,0.8,0.2,0.9,0.8,1.1
62,광주광역시,북구,120270455.0,6.23,2.4,2.3,2.4,1.1,1.8,1.8,2.4
63,광주광역시,광산구,222710812.0,5.38,2.1,2.0,1.9,0.7,1.8,1.8,2.3
64,대전광역시,동구,136686124.0,7.0,0.9,1.0,1.3,0.9,0.6,1.0,0.7
65,대전광역시,중구,62181987.0,8.22,1.3,1.2,1.4,1.1,0.7,1.1,1.0
66,대전광역시,서구,95453034.0,4.78,2.4,2.4,2.3,0.6,2.3,2.1,2.6
67,대전광역시,유성구,176610390.0,7.73,1.7,1.5,1.5,0.8,2.2,1.8,2.0
68,대전광역시,대덕구,68737017.0,2.8,1.0,1.0,1.1,0.7,0.7,0.8,0.8
69,울산광역시,중구,37007129.0,7.41,0.9,0.9,0.9,0.6,0.7,0.9,0.9
70,울산광역시,남구,73993356.0,8.32,2.2,1.8,1.6,1.7,1.6,1.8,2.1
71,울산광역시,동구,36073326.0,5.25,0.6,0.4,0.4,0.4,0.4,0.6,0.6
72,울산광역시,북구,157352308.0,4.89,0.8,0.6,0.6,0.4,0.8,0.8,1.0
73,울산광역시,울주군,758407395.0,7.48,0.9,0.8,0.7,1.6,0.7,1.1,0.8
74,강원도,춘천시,1116409317.0,6.43,1.6,1.4,1.4,3.1,1.7,1.6,1.5
75,강원도,원주시,868281606.0,7.61,1.9,2.0,2.2,2.6,1.5,2.1,2.0
76,강원도,강릉시,1040677544.0,9.61,1.3,1.3,1.6,6.1,1.2,1.9,1.4
77,강원도,동해시,180304741.0,25.13,0.4,0.5,0.6,1.3,0.3,0.7,0.4
78,강원도,태백시,303443268.0,33.97,0.2,0.2,0.3,0.6,0.2,0.3,0.1
79,강원도,속초시,105769533.0,28.09,0.6,0.5,0.8,2.3,0.4,0.8,0.4
80,강원도,삼척시,1187827627.0,19.69,0.3,0.3,0.4,1.8,0.3,0.5,0.2
